Time elapsed on feature extraction: 0.0
Time elapsed on reading serialized features: 8.433975219726562
MLPClassifier(activation='tanh', alpha=0.0001, batch_size='auto', beta_1=0.9,
       beta_2=0.999, early_stopping=False, epsilon=1e-08,
       hidden_layer_sizes=(100, 100), learning_rate='constant',
       learning_rate_init=0.001, max_iter=200, momentum=0.9,
       nesterovs_momentum=True, power_t=0.5, random_state=None,
       shuffle=True, solver='adam', tol=0.0, validation_fraction=0.1,
       verbose=True, warm_start=False)
Iteration 1, loss = 0.30527948
Iteration 2, loss = 0.26668716
Iteration 3, loss = 0.25137959
Iteration 4, loss = 0.23635387
Iteration 5, loss = 0.23055437
Iteration 6, loss = 0.22742533
Iteration 7, loss = 0.22524565
Iteration 8, loss = 0.22406422
Iteration 9, loss = 0.22285285
Iteration 10, loss = 0.22164855
Iteration 11, loss = 0.22081115
Iteration 12, loss = 0.21996790
Iteration 13, loss = 0.21876510
Iteration 14, loss = 0.21853912
Iteration 15, loss = 0.21743173
Iteration 16, loss = 0.21749421
Iteration 17, loss = 0.21673270
Iteration 18, loss = 0.21585490
Iteration 19, loss = 0.21537352
Iteration 20, loss = 0.21610912
Iteration 21, loss = 0.21497973
Iteration 22, loss = 0.21433722
Iteration 23, loss = 0.21390445
Iteration 24, loss = 0.21451924
Iteration 25, loss = 0.21365124
Iteration 26, loss = 0.21302359
Iteration 27, loss = 0.21342824
Iteration 28, loss = 0.21225334
Iteration 29, loss = 0.21336485
Iteration 30, loss = 0.21165138
Iteration 31, loss = 0.21082631
Iteration 32, loss = 0.21126541
Iteration 33, loss = 0.21150757
Iteration 34, loss = 0.20995958
Iteration 35, loss = 0.20963220
Iteration 36, loss = 0.20884113
Iteration 37, loss = 0.20865047
Iteration 38, loss = 0.20831963
Iteration 39, loss = 0.20831638
Iteration 40, loss = 0.20734686
Iteration 41, loss = 0.20751380
Iteration 42, loss = 0.20745540
Iteration 43, loss = 0.20589450
Iteration 44, loss = 0.20554726
Iteration 45, loss = 0.20528107
Iteration 46, loss = 0.20523194
Iteration 47, loss = 0.20435672
Iteration 48, loss = 0.20400340
Iteration 49, loss = 0.20415771
Iteration 50, loss = 0.20319443
Iteration 51, loss = 0.20292730
Iteration 52, loss = 0.20295228
Iteration 53, loss = 0.20181544
Iteration 54, loss = 0.20180965
Iteration 55, loss = 0.20067197
Iteration 56, loss = 0.20099842
Iteration 57, loss = 0.20054696
Iteration 58, loss = 0.20001792
Iteration 59, loss = 0.20022280
Iteration 60, loss = 0.19920603
Iteration 61, loss = 0.19881416
Iteration 62, loss = 0.19860111
Iteration 63, loss = 0.19718539
Iteration 64, loss = 0.19778749
Iteration 65, loss = 0.19702439
Iteration 66, loss = 0.19700442
Iteration 67, loss = 0.19705955
Iteration 68, loss = 0.19602354
Iteration 69, loss = 0.19597898
Iteration 70, loss = 0.19557032
Iteration 71, loss = 0.19555842
Iteration 72, loss = 0.19553925
Iteration 73, loss = 0.19401513
Iteration 74, loss = 0.19392009
Iteration 75, loss = 0.19441109
